CASE	SERIAL	REF	QUESTNNR	MODE	STARTED	EE01	EE01_01	EE01_02	SD01	SD02_01	SD03	SD03_03	SD04	SD04_06	SD05	SD06	SD06_02	SD07	SD07_02	SL02_01	SL02_02	SL02_03	SL02_04	SL02_05	SL02_06	SL02_07	SL02_08	SL02_09	SL02_10	HA01_08	HA02_08	HA03_08	HA05_08	MF01_01	MF01_02	MF01_03	MF01_04	MF01_05	MF01_06	MF01_07	MF01_08	MF01_09	MF01_10	MF01_11	MF01_12	MF01_13	MF01_14	MF01_15	MF01_16	MF01_17	MF01_18	MF01_19	MF01_20	MF01_21	MF01_22	MF01_23	ME01	ME02	ME03_01	ME21_01	ME04	ME05_01	ME22_01	ME06	ME07_01	ME23_01	ME08_01	ME09	ME09_08	ME13	ME13_01	ME13_02	ME13_03	ME13_04	ME13_05	ME13_06	ME13_07	ME13_08	ME13_09	ME13_10	ME13_11	ME13_12	ME13_13	ME13_14	ME13_15	ME13_16	ME13_17	ME13_18	ME13_19	ME13_20	ME13_21	ME13_22	ME13_23	ME13_24	ME13_25	ME13_26	ME13_27	ME13_28	ME14_01	ME14_02	ME14_03	ME14_04	ME14_05	ME14_06	ME14_07	ME14_08	ME14_09	ME14_10	ME14_11	ME14_12	ME14_13	ME14_14	ME14_15	ME14_16	ME14_17	ME14_18	ME14_19	ME14_20	ME14_21	ME14_22	ME14_23	ME14_24	ME14_25	ME14_26	ME14_27	ME14_28	ME17_01	ME17_02	ME17_03	ME17_04	ME17_05	ME17_06	ME17_07	ME17_08	ME17_09	ME17_10	ME17_11	ME17_12	ME17_13	ME17_14	ME17_15	ME17_16	ME17_17	ME17_18	ME17_19	ME17_20	ME17_21	ME17_22	ME17_23	ME17_24	ME17_25	ME17_26	ME17_27	ME17_28	ME10	ME18_01	ME18_02	ME18_03	ME18_04	ME18_05	ME19_01	ME24_01	ME24_02	ME24_03	RE02	RE04	RE05	RE03	RE08	RE06	RE07	KU02_01	KU02_02	KU02_03	KU02_04	KU02_05	KU02_06	KU02_07	KU02_08	KU14_01	KU12_01	KU12_02	KU12_03	KU12_04	KU13_01	KU13_02	KU13_03	MW02_01	MW05_02	MW03_01	MW06_03	MW07_04	MW08_05	MW04_01	MW09_06	OV01_01	OV01_02	OV01_03	OV01_04	OV01_05	OV01_06	OV01_07	OV01_08	OV02_01	OV02_02	OV02_03	OV02_04	OV03	OV03_01	OV03_02	OV04	OV04_04	SC01_01	SC01_02	SC01_03	SC01_04	SC02_01	SC02_02	SC02_03	SC02_04	SC02_05	SC02_06	SC02_07	SC02_08	SC02_09	SC02_10	SC02_11	SC02_12	SC02_13	SC03_01	SC04_01	EI01_01	EI01_02	EI01_03	EI01_04	EI01_05	EI01_06	EI01_07	EI01_08	EI01_09	EI01_10	EI01_11	EI01_12	EI01_13	EI01_14	EI01_15	EI01_16	EI01_17	EI01_18	EI01_19	EI01_20	EI02	KL01_01	KL01_02	KL01_03	KL01_04	KL01_05	KL01_06	KL01_07	KL01_08	KL01_09	KL01_10	KL01_11	KL01_12	KL01_13	AD01	AD02_01	AD03	AD04	AE01_01	AE01_02	AE01_03	AE01_04	AE01_05	AE01_06	AE01_07	AE01_08	AE01_09	AE01_10	AE01_11	AE01_12	AE01_13	AE01_14	AE02_01	AE02_02	AE02_03	AA01_01	AA01_02	AA01_03	AA01_04	AA01_05	AA01_06	AA01_07	AA01_08	AA01_09	AA01_10	AA01_11	AA01_12	AA01_13	AA01_14	AA01_15	AA01_16	AA01_17	AA01_18	AA01_19	AA01_20	AA01_21	ST01_01	ST01_02	ST01_03	ST01_04	ST01_05	ST01_06	ST01_07	ST01_08	ST01_09	ST01_10	ST01_11	ST01_12	IM01_01	IM01_02	IM01_03	IM01_04	IM01_05	IM01_06	IM01_07	IM01_08	IM01_09	IM01_10	IM01_11	IM01_12	IM01_13	IM01_14	IM01_15	IM01_16	IM01_17	IM01_18	IM01_19	IM01_20	AL01_01	AL02_01	AL04_01	AL04_02	AL04_03	AL04_04	AL04_05	AL04_06	AL05_01	AL05_02	AL06_01	AL06_02	AL06_03	AL06_04	AL06_05	TIME001	TIME002	TIME003	TIME004	TIME005	TIME006	TIME007	TIME008	TIME009	TIME010	TIME011	TIME012	TIME013	TIME014	TIME015	TIME016	TIME017	TIME018	TIME019	TIME020	TIME021	TIME022	TIME023	TIME024	TIME025	TIME026	TIME027	TIME028	TIME029	TIME030	TIME031	TIME032	TIME033	TIME034	TIME_SUM	MAILSENT	LASTDATA	FINISHED	Q_VIEWER	LASTPAGE	MAXPAGE	MISSING	MISSREL	TIME_RSI	DEG_TIME
384			TheOneandOnly	interview	2021-04-08 18:10:41	2	T	T	1	52	2		3		5	1		2	50	4	4	4	4	4	4	4	4	4	4	7	4	5	1	4	3	3	3	2	3	2	1	4	2	4	4	4	3	2	4	2	3	1	3	4	3	3	1	4			4	5		1			60	5		2	F	T	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	-9	7	-9	-9	-9	-9	-9	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1						1				2	4	1	4	3	2	3	5	4	5	3	3	3	4	2	4	2	2	2	3	1	2	2	2	5	2	2	4	1	1	2	1	1	1	1	1	1	1	1	3	4	2	2	2		0.25	1		22	5	6	8	1	2	1	1	1	1	1	1	1	1	1	2	2	1		5	3	1	2	5	4	1	1	3	5	1	1	1	1	4	5	3	2	5	5	2	1	2	1	1	3	1	1	1	1	3	1	1	1	2	30	1	1	4	1	4	5	2	2	1	2	3	3	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	4	2	3	2	1	1	1	4	2	2	3	4	3	2	4	2	2	3	2	2	4	2	3	1	1	2	2	3	2	3	3	3	3	2	3	3	3	3	2	1	1	1	1	5	1	2	1	1	1	5	1	1	3	1	1	1	1	1	56	27	160	41	229	21	28	13	15	11	10		55	131	6		59	118	69	48	25	45	42	57	81	68	5	40	111	67	57	93	104	43	1935		2021-04-08 18:42:57	T	F	34	34	18	7	0.93	5
385			TheOneandOnly	interview	2021-04-08 18:13:16	2	T	T	1	23	2		2		4	2	Pädagogik der Kindheit	2	8 h	7	6	6	7	7	7	6	7	7	2	5	5	3	4	5	2	4	2	4	3	4	5	5	4	3	5	3	2	5	5	5	3	5	5	5	4	5	1	7	5-10	2	2			2			6	8	Yoga und beten (christlicher Glaube)	7	T	T	F	T	F	T	F	T	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	6	7	-9	6	-9	2	-9	7	-9	6	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	1	-9	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	1						11				5	5	5	5	4	5	3	1	5	1	5	1	5	5	4	3	2	7	4	5	2	7	5	7	7	7	7	7	7	6	7	3	3	1	2	1	1	2	2	1	2	1	1	2		6	4	YouTube	10	90	6	7	4	4	4	4	1	4	1	3	3	1	3	2	3	3		4	5	1	2	5	3	1	2	2	5	3	1	1	3	3	5	2	5	5	5	2	4	3	4	3	4	3	3	3	3	3	2	2	1	2	3	3	1	3	3	5	3	2	3	1	1	4	4	1	1	1	4	2	2	2	1	1	1	1	1	1	1	1	1	3	4	4	2	1	1	1	1	1	1	4	4	4	4	5	1	5	3	1	1	5	1	5	5	2	1	2	2	1	4	4	4	4	4	2	4	3	3	3	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	33	63	76	65	155	7	16	21	18	3	20	9	65	152	9		46	130	39	39	17	63	34	80	97	61	4	16	81	63	55	101	49	16	1703		2021-04-08 18:41:41	T	F	34	34	16	6	1.12	12
387			TheOneandOnly	interview	2021-04-08 18:23:52	2	T	T	1	21	2		1		1	1		2	10	5	2	4	6	3	2	4	5	4	2	4	3	2	5	1	2	4	3	1	1	4	3	4	3	2	3	2	2	3	4	3	2	3	2	2	2	3	3	1			1			1			0	-9																																																																																																	2	3	1	2	1	2	2	4	5	5	3	4	3	2	3	3	2	3	3	4	1	3	1	3	6	2	5	3	4	2	5	2	3	1	2	3	1	4	3	3	4	2	1	2		3.5	2		2	10	11	9	2	1	1	1	1	1	1	1	1	1	1	2	2	2		3	3	2	3	3	3	5	3	4	3	2	3	5	2	4	3	2	5	3	3	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	4	4	2	3	3	4	5	5	5	1	5	4	2	5	2	4	3	3	1	1	2	1	2	2	1	1	1	1	1	3	4	3	2	1	1	1	1	3	1	3	2													4	2	4	4	2	3	4	3	4	3	2	3	2	3	2	3	4	1	3	2	4	2	3	2	2	1	2	1	1	1	3	4	3	3	1	150	30	164	42	178	5	7		6		3		16				44	126	62	145	35	444	31	55	236	92	6	26	121	89		130	76	27	1956		2021-04-08 19:02:58	T	F	34	34	1	0	1.02	10
392			TheOneandOnly	interview	2021-04-08 18:36:38	2	T	T	1	26	2		1		4	2	Psychologie	2	12	1	1	1	1	1	1	1	1	1	6	3	3	1	6	2	2	5	5	4	4	5	1	1	5	3	4	2	3	1	3	5	3	1	4	4	3	3	2	7	15	1	1			1			2	2		0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	6	6	6	6	5	2	7	2	3	2	3	3	3	2	1	1	1	1	1	1	1	1	1	5	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1						6				2	3	1	5	1	1	1	1	5	3	5	2	5	4	3	4	7	7	3	7	2	1	1	1	5	7	7	7	7	1	7	2	1	1	1	3	1	1	2	2	2	1	2	1	5		2		2	1	9	7	1	1	2	1	1	2	1	2	2	1	1	4	4	3		2	5	4	1	4	2	1	3	2	3	1	2	5	1	5	1	1	5	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																										1	2	1	4	2	2	2	1	5	3	1	1	3	1	1	1	2	2	4	3	4	4	4	1	1	1	4	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	3	1	1	1	27	25	24	22	89	4	6	9	4		6		30	142	8		20	66	25	24	27	21	25	65	56	25	4				36	56	43	9	898		2021-04-08 18:51:36	T	F	34	34	0	0	1.81	42
397			TheOneandOnly	interview	2021-04-08 18:46:28	2	T	T	1	29	1		1		5	1		2	25	6	2	6	6	7	2	5	5	4	5	4	3	3	3	4	3	3	4	2	3	2	3	5	3	2	5	2	2	2	5	3	2	3	5	5	3	4	3	1			1			7	90	1	16	5																																																																																																	2	1	1	1	1	1	1	2	4	2	5	1	4	3	3	6	4	4	7	6	1	2	2	6	6	6	7	7	7	5	3	2	1	1	1	1	1	2	1	4	5	4	2	1	3		3		00:00	10	7:30	7	2	1	1	1	1	1	1	1	1	1	1	1	3	2		5	3	1	2	5	5	2	1	3	5	1	1	1	1	3	5	3	3	5	5	2	3	3	3	3	1	1	1	1	2	1	1	1	1	1																																										4	4	5	3	1	5	2	3	4	1	5	2	2	1	2	2	1	4	3	3	4	4	4	2	4	3	1	3	1	1	1	1	5	1	2	1	1	1	1	1	1	1	3	4	2	1	2	17	25	52	59	150	6	7		6		9	15	14				15	84	26	37	15	126	25	37	100	59	4				50	77	52	18	1085		2021-04-08 19:04:33	T	F	34	34	0	0	1.46	25
398			TheOneandOnly	interview	2021-04-08 18:46:45	2	T	T	1	19	2		1		2	1		1		7	7	7	7	7	3	5	6	4	2	5	3	4	2	4	3	2	5	1	4	1	2	5	2	3	4	2	3	1	4	5	4	1	5	3	4	4	2	6	30	1	1			1			4	1		0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	2	6	1	7	6	1	5	2	1	6	2	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1						34				3	1	1	1	3	2	3	1	5	1	4	1	4	4	4	5	5	7	3	3	1	2	3	7	7	7	7	4	3	6	6	1	1	1	1	3	1	3	4	4	1	2	4	1	4		2		23	30	8	7	3	1	2	3	1	1	1	3	1	-9	1	3	1	1		4	2	3	4	5	2	3	2	5	2	2	4	3	1	3	1	4	3	5	3	2	2	3	1	5	3	2	2	3	2	5	3	2	4	2	1	1	1	1	1	2	1	4	2	5	3	1	4	3	2	3	5	1	1	3	4	2	1	1	3	1	5	1	2	4	3	2	4	3	1	4	5	3	2	5	4	4	2	3	2	3	1	3	5	3	4	2	3	1	3	2	1	3	2	3	1	1	4	3	2	3	4	1	2	3	1	4	3	2	3	2	2	2	4	3	3	3	2	2	5	1	3	1	19	19	44	25	95	4	8	11	6		2		19	96	5		27	50	19	31	3	21	19	27	19	10	3	10	20	18	9	14	23	16	692		2021-04-08 18:58:17	T	F	34	34	1	0	2.23	105
399			TheOneandOnly	interview	2021-04-08 18:48:24	2	T	T	1	20	2		1		4	2	Mathematik 	1		6	5	6	5	6	3	4	3	3	3	5	7	5	2	2	3	4	2	2	2	4	3	4	3	2	3	3	3	3	2	2	2	2	2	2	3	4	3	1			1			1				-9																																																																																																	2	2	1	1	1	2	2	4	3	3	2	4	2	2	2	2	1	3	4	3	1	2	1	3	5	5	4	4	4	2	6	4	3	2	2	3	4	4	3	4	4	3	4	1	2.42		1		12	30	9	8	2	2	1	1	1	1	1	1	1	1	1	2	2	2		4	4	2	2	4	3	2	3	4	4	2	2	2	2	4	3	2	4	4	4	1	2	2	2	2	3	3	1	1	2	3	1	1	1	2	2 Jahre 	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	1	1	1	3	3	3	2	1	2	2	3	4	2	2	1	1	1	1	3	3	3	3													2	2	3	3	2	2	3	2	3	2	2	3	3	3	3	3	4	2	4	4	4	3	4	3	2	1	1	3	3	3	2	4	2	3	2	10	23	87	69	190	10	9		7		8		17				37	108	68	81	51	56	41	69	66	64	5	18	91	96		172	74	17	1544		2021-04-08 19:14:09	T	F	34	34	1	1	1.12	10
403			TheOneandOnly	interview	2021-04-08 18:50:58	2	T	T	2	23	2		1		4	2	BWL	1		5	3	6	2	2	3	4	3	3	2	4	2	2	5	5	2	1	4	1	5	1	5	5	2	5	5	5	5	4	3	2	3	4	5	3	4	5	2	1			1			2																																																																																																					3	3	1	1	1	4	2	2	5	3	4	4	5	2	1	3	3	3	7	4	1	3	3	6	7	4	7	4	5	1	2	4	2	1	2	4	3	4	4	4	5	4	4	1	5.36		2		1	5	8	7	1	4	1	1	1	1	3	1	1	1	1	2	2	3		3	4	3	4	4	2	2	5	4	3	4	1	2	4	4	2	4	1	4	4	2	1	1	1	1	2	1	1	1	1	4	1	1	1	2	6	1	1	5	4	5	2	3	5	4	1	5	5	3	5	4	1	3	1	5	2	2	5	2	5	5	1	3	1	4	4	3	2	1	1	1	1	3	1	4	3													3	2	3	3	2	1	3	3	3	3	4	3	3	3	4	2	1	4	3	3	4	4	3	1	1	1	1	1	1	1	-9	3	1	4	2	5	33	83	75	254	31	7		15		20	8					39	156	56	48	21	69	40	73	105	98	3	19	98	87		161	60	15	1679		2021-04-08 19:18:57	T	F	34	34	2	1	1.08	15
410			TheOneandOnly	interview	2021-04-08 19:17:18	2	T	T	1	20	2		1		4	2	Psychologie	1		6	5	5	5	4	4	3	5	4	5	6	6	5	3	3	5	5	3	4	5	4	2	5	3	5	4	4	4	3	4	2	4	1	3	2	5	2	1	7	2	1	1			7	2	1	4	8	Dankbarkeit	6	F	T	T	T	T	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	-9	6	2	4	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	5	-9	-9	-9	-9	-9	1	2	1	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9	1						26				2	2	2	1	5	1	4	3	4	2	3	3	2	4	4	6	2	4	3	6	2	1	1	5	6	6	7	6	4	3	6	2	1	1	2	2	2	3	1	4	4	1	2	1	2.7		3		0	25	8	7.5	2	2	1	1	1	1	1	1	1	1	1	1	1	1		4	4	1	1	5	4	2	2	3	5	1	2	2	1	4	4	2	2	5	5	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	3	3	2	4	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	3	1	1	2	4	2	2	3	2	1	4	2	4	3	2	4	2	1	1	2	2	2	3	3	3	2	3	2	3	2	2	3	2	2	3	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	11	25	65	32	130	7	12	16	28		4	8	37	145	6		36	113	65	86	21	103	38	64	91	61	8	12	91	55	119	137	47	11	1684		2021-04-08 19:45:22	T	F	34	34	15	5	1.21	15
415			TheOneandOnly	interview	2021-04-08 19:41:37	2	T	T	1	18	3	Weißrussland	1		2	1		1		7	5	3	4	2	4	4	5	4	1	4	5	7	4																																																																																																																																																																																																																																																																																																																																		27	49	48	49	57408																														369		2021-04-09 11:41:18	F	F	5	5	0	0	0.93	8
424			TheOneandOnly	interview	2021-04-08 20:22:54	2	T	T	2	28	2		1		5	1		2	40	4	4	4	5	3	4	7	7	7	1	6	5	5	3	4	4	4	5	2	4	3	1	2	3	5	2	4	4	1	3	4	3	1	3	3	3	1	3	1			1			1				-9																																																																																																	5	5	2	2	1	2	5	4	5	3	5	3	5	5	2	5	4	5	2	2	4	2	2	2	5	2	6	2	2	2	4	2	2	1	3	4	3	5	3	4	5	4	4	1	35		3		24	15	8	7:30	2	1	2	1	1	1	1	1	1	2	1	1	1	2	Aufregung und Begeisterung	3	3	3	3	3	2	3	4	2	3	2	1	4	2	3	5	4	3	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	11	4	1	3	2	3	4	3	3	1	3	4	3	3	3	3	2	2	2	1	1	3	3	1	2	2	1	2	1	3	4	3	2	1	1	1	1	4	1	3	2													2	1	1	1	1	4	4	4	3	3	3	2	3	3	1	2	3	3	4	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	7	40	303	47	159	8	11		5		5		15				46	121	50	64	26	127	28	80	85	53	3	17	85	97		87	77	21	1667		2021-04-08 20:50:42	T	F	34	34	1	1	1.2	15
427			TheOneandOnly	interview	2021-04-08 20:34:09	2	T	T	2	24	2		2		5	1		2	42	3	4	5	6	2	7	7	7	6	1	6	5	3	2	4	2	4	4	3	4	4	2	2	2	4	3	5	4	3	4	3	5	4	3	2	3	4	3	1			1			1				-9																																																																																																	2	3	2	2	1	2	2	4	3	4	5	4	4	4	2	3	5	4	2	5	2	3	1	5	5	6	6	7	7	3	7	4	3	2	2	3	4	4	4	4	4	3	2	2		16	2		23	60	7	7	3	4	2	1	1	2	1	3	2	2	1	2	2	3	Nachbar macht Heckmeck	4	5	1	1	5	4	2	2	5	5	1	2	2	1	4	4	1	1	5	5	2	4	4	2	1	3	4	2	2	3	3	3	2	4	2	7	3	2	4	2	4	3	2	4	2	1	5	4	3	1	3	1	3	2	1	3	2	2	1	1	1	1	2	1	3	4	2	2	1	1	1	1	2	1	3	3													2	3	3	2	3	3	4	3	2	3	2	3	3	2	3	2	4	3	3	3	4	3	3	3	2	1	2	2	2	3	2	3	2	3	2	31	26	118	50	207	5	5		6		3		10				45	142	95	44	29	140	45	81	77	64	4	24	107	127		183	93	26	1787		2021-04-08 21:03:56	T	F	34	34	1	1	1.15	13
432			TheOneandOnly	interview	2021-04-08 21:12:41	2	T	T	1	23	2		1		4	2	Heilpädagogik	1		7	5	4	5	6	3	5	5	4	2	5	3	2	1	4	3	3	4	2	2	3	2	4	2	2	4	3	2	4	4	4	2	4	4	4	2	5	2	7	10	1	7	5	1	1			1	1		4	F	T	F	F	F	F	T	T	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	-9	6	-9	-9	-9	-9	5	6	-9	-9	-9	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9	1	1	-9	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1						9				3	4	1	2	3	2	2	1	4	2	4	3	3	2	3	7	4	5	6	6	2	1	1	4	5	6	7	7	2	6	7	4	3	2	3	2	3	4	4	5	5	1	3	1	3		1		24	20-30	10	9	2	2	1	1	1	3	1	3	1	-9	1	1	4	2		4	3	1	3	5	4	3	1	3	5	2	1	1	2	5	5	3	2	5	5	1	4	2	1	2	2	2	1	1	1	2	2	1	1	2	5	1	1	3	2	4	5	5	4	1	3	3	3	1	4	5	5	1	1	1	1	1	1	1	1	1	1	1	1	4	4	2	3	1	1	1	1	4	3	2	3	2	4	4	2	4	5	1	3	2	2	4	3	1	2	2	1	2	4	4	4	4	4	2	3	3	3	2	3	1	1	1	2	3	1	2	1	1	1	1	1	1	1	1	4	1	1	1	103	98	136	67	254	8	26	11	9	11	17		275	167	10		82	140	76	82	47	168	72	183	115	89	5	57	127	82	134	143	128	31	2705		2021-04-08 22:01:55	T	F	34	34	17	6	0.68	1
439			TheOneandOnly	interview	2021-04-08 22:15:59	2	T	T	1	20	2		1		4	1		1		5	3	5	5	3	4	3	6	6	1	4	3	4	5	4	4	3	2	2	2	4	3	4	3	2	3	3	1	4	4	3	3	3	3	4	2	4	2	2			2			1																																																																																																					3	2	1	2	3	2	1	2	5	1	4	2	4	3	3	6	2	3	6	7	5	3	3	4	3	5	5	6	5	5	4	3	2	1	1	2	2	4	2	4	5	3	2	1	5		2		11	120	9:30	9-10	4	4	2	1	1	2	2	3	2	3	1	1	4	3	Unbequem	5	3	1	3	3	3	2	2	5	5	2	1	1	3	2	4	4	1	5	5	2	2	3	1	1	3	3	1	3	2	3	1	1	1	2	3 Jahren	2	1	5	2	4	4	5	5	3	4	5	5	3	4	5	4	2	2	1	1	2	2	2	2	3	1	2	1	3	3	3	3	1	1	1	1	4	3	2	4													2	3	2	2	2	3	3	2	4	3	2	3	2	3	3	4	2	2	3	3	4	2	2	1	1	1	1	1	1	1	3	3	3	3	3	74	46	160	89	374	18	15		12		18						73	178	80	110	40	101	129	129	175	110	6	42	148	119		177	122	25	2570		2021-04-08 22:58:49	T	F	34	34	0	0	0.61	0
440			TheOneandOnly	interview	2021-04-08 22:59:41	2	T	T	1	20	2		1		4	1		2	20	6	5	6	6	5	4	3	3	4	4	6	5	6	2	3	3	5	1	4	3	5	3	4	4	2	3	2	2	2	2	2	4	3	3	2	4	4	3	1			1			2				-9																																																																																																	3	2	2	1	1	2	1	1	4	1	3	4	4	2	2	6	5	3	7	5	2	1	1	7	7	7	7	7	7	7	7	3	3	1	1	2	2	3	2	3	4	3	2	1	2		1		23	10	8	5																																																																																																																																											14	31	68	47	155	6	7		6		10		11				34	89	39	52	17	26	26												638		2021-04-08 23:10:19	F	F	23	23	2	1	1.45	23
441			TheOneandOnly	interview	2021-04-08 23:05:55	2	T	T	1	19	2		2		4	2	Bauingenieurwesen 	2	8	6	4	5	3	3	7	7	7	5	2	6	5	6	3	4	3	3	5	2	3	3	3	4	2	2	4	2	3	4	4	4	2	4	3	4	3	4	3	1			1			1			0	8	Keine																																																																																																2	2	2	2	1	2	2	2	5	2	2	4	3	4	4	4	1	3	2	4	2	1	1	2	2	4	2	5	3	3	5	4	4	3	3	3	3	4	4	4	4	3	4	1	3		2		23	20	8	8	3	4	4	1	1	2	3	1	3	1	1	2	4	3		4	4	2	3	5	5	2	2	3	4	2	2	1	3	4	4	2	2	4	4	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2018	3	1	4	4	4	2	5	5	5	5	5	5	4	5	5	4	3	3	1	2	1	3	3	5	5	1	3	3	4	4	4	3	1	1	1	1	4	4	4	2													3	3	3	2	2	2	2	2	3	3	2	3	3	3	2	3	3	2	2	2	3	4	3	3	2	2	-9	-9	2	1	3	4	2	4	4	16	45	67	36	170	10	8		5		5		23				38	124	50	46	17	44	46	82	98	47	4	20	102	108		130	99	27	1467		2021-04-08 23:30:23	T	F	34	34	1	1	1.16	11
443			TheOneandOnly	interview	2021-04-08 23:33:01	2	T	T	1	22	2		1		4	2	Sozial (Heilpädagogik)	2	8	6	6	7	6	5	4	4	6	5	2	5	5	4	4	4	5	4	5	2	3	4	2	5	2	4	5	3	4	2	5	3	2	1	5	4	4	1	2	2			1			1																																																																																																					3	4	2	2	2	4	3	1	5	1	5	1	4	5	4	6	4	5	7	5	2	1	1	2	5	2	2	1	5	7	1	4	4	2	3	3	2	4	4	4	5	4	3	1	8		2		22:45	10	9	8	1	2	2	1	1	2	1	1	1	1	1	1	3	2		4	4	1	2	5	4	1	1	4	5	1	1	1	2	4	5	3	1	5	5	2	1	3	1	2	2	1	1	1	1	2	2	2	1	2	5	1	1	4	3	3	1	2	3	1	2	2	2	1	1	1	2	2	2	1	2	1	2	1	1	1	1	1	1	4	4	4	1	1	1	1	1	4	3	4	2													2	1	1	1	1	1	2	2	4	3	3	3	2	3	2	3	2	3	2	4	3	2	2	1	1	1	1	1	1	1	1	2	1	1	1	24	55	76	60	193	6	9		9		6						49	123	66	67	23	47	47	65	122	80	5	19	132	77		119	91	19	1589		2021-04-08 23:59:31	T	F	34	34	0	0	1.01	4
448			TheOneandOnly	interview	2021-04-09 08:19:57	2	T	T	1	26	2		2		4	2	Erziehungswissenschaft 	2	12,5	6	4	5	5	3	6	5	6	6	1	7	6	7	1	4	4	3	4	2	2	2	1	4	3	4	3	4	4	2	4	3	2	1	3	2	5	1	3	1			2			7	Mind.10	1	24	5																																																																																																	2	1	1	1	1	1	3	3	3	4	4	4	3	4	4	5	1	3	3	3	1	1	1	4	5	5	6	5	5	2	3	2	2	1	1	1	1	1	1	2	1	1	1	1	2		1		22:00	5	7:30	9,5	2	3	2	1	1	1	1	1	1	1	1	1	1	1		5	4	1	1	4	3	1	2	4	5	1	1	1	1	5	5	2	2	5	5	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	3,5	3	1	3	3	4	4	4	4	2	2	4	4	3	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	3	3	1	3	1	1	1	1	4	2	2	2	3	2	2	4	2	1	3	1	2	4	1	1	1	1	2	1	2	3	3	3	3	3	1	3	3	3	3	3	3	2	4	4	3	2	1	2	1	1	2	1	1	1	1	1	1	1	1	38	115	143	58	255	10	12		15		11	15	405				49	461	68	94	30	55	38	91	214	70	8	37	114	72	93	193	81	26	2493		2021-04-09 09:07:49	T	F	34	34	0	0	0.74	0
